Res ID;ACC;Year;MO;Init. Storage;From River By Priority;From River By Storage;From River By Other;From River By Loss;From Carrier By Priority;From Carrier By Other;From Carrier By Loss;Total Supply;From Storage to River For Use;From Storage to River for Exc;From Storage to Carrier for use;Total Release;Evap;Seep and Spill;EOM Content;Target Stor;Decree Lim;River Inflow;River Release;River Divert;River by Well;River Outflow
6203532;0;1908;OCT;866122;0;0;0;0;0;2418;0;2418;13108;0;2418;15526;1211;18933;832870;834081;1138067;55540;32041;0;0;87581
6203532;0;1908;NOV;832870;0;0;0;0;0;4013;0;4013;0;0;4013;4013;592;31436;800843;801435;1171318;29998;31436;0;0;61434
6203532;0;1908;DEC;800843;0;0;0;0;0;5728;0;5728;0;0;5728;5728;165;30843;769835;770000;1203346;25974;30843;0;0;56817
6203532;0;1909;JAN;769835;165;0;0;0;0;6149;0;6314;8034;0;6149;14183;245;0;761721;770000;1234354;24067;8034;165;0;31936
6203532;0;1909;FEB;761721;8279;0;0;0;0;5554;0;13833;10791;0;5554;16345;406;0;758803;770000;1242468;23148;10791;8279;0;25660
6203532;0;1909;MAR;758803;11197;0;0;0;0;6149;0;17346;0;0;6149;6149;1059;0;768941;770000;1245386;36100;0;11197;0;24903
6203532;0;1909;APR;768941;57253;0;0;0;0;5950;0;63203;0;0;5950;5950;2001;0;824193;826194;1235248;84933;0;57252;0;27680
6203532;0;1909;MAY;824193;41930;0;0;0;0;5160;0;47090;0;0;5160;5160;2844;0;863279;882446;1179996;226023;0;41930;0;184092
6203532;0;1909;JUN;863279;2844;0;0;0;0;0;0;2844;0;0;0;0;3493;0;862630;940700;1140910;267460;0;2844;0;264617
6203532;0;1909;JUL;862630;3493;0;0;0;0;0;0;3493;0;0;0;0;3056;0;863067;940700;1141559;127329;0;3493;0;123836
6203532;0;1909;AUG;863067;3056;0;0;0;0;3539;0;6595;0;0;3539;3539;2707;0;863416;940700;1141122;77639;0;3056;0;74583
6203532;0;1909;SEP;863416;0;0;0;0;0;2740;0;2740;14257;0;2740;16997;2346;201598;645216;647562;1140773;91641;215854;0;0;307495
6203532;0;1909;TOT;866122;128217;0;0;0;0;47401;0;175617;46190;0;47401;93591;20124;282809;645216;-1;-1;1069850;329000;128217;0;1270633
6203532;0;1909;OCT;645216;6683;0;0;0;0;7297;0;13980;0;0;7297;7297;1045;0;650854;686810;1358973;45048;0;6683;0;38365
6203532;0;1909;NOV;650854;21576;0;0;0;0;8926;0;30502;0;0;8926;8926;528;0;671903;710427;1353335;37808;0;21576;0;16232
6203532;0;1909;DEC;671903;15235;0;0;0;0;6149;0;21384;5139;0;6149;11288;153;0;681845;770000;1332286;31620;5139;15235;0;21525
6203532;0;1910;JAN;681845;11645;0;0;0;0;6149;0;17794;10836;0;6149;16985;230;0;682424;770000;1322344;28278;10836;11645;0;27469
6203532;0;1910;FEB;682424;11834;0;0;0;0;5554;0;17388;9110;0;5554;14663;383;0;684765;770000;1321765;26073;9110;11834;0;23348
6203532;0;1910;MAR;684765;24353;0;0;0;0;6149;0;30502;6246;0;6149;12395;1005;0;701867;770000;1319424;37564;6246;24353;0;19458
6203532;0;1910;APR;701867;66870;0;0;0;0;5950;0;72820;0;0;5950;5950;1913;0;766824;781478;1302322;85668;0;66870;0;18799
6203532;0;1910;MAY;766824;86938;0;0;0;0;10740;0;97678;1148;0;10740;11888;2775;0;849838;853761;1237365;228044;1148;86938;0;142253
6203532;0;1910;JUN;849838;16284;0;0;0;0;5015;0;21300;0;0;5015;5015;3477;0;862646;940700;1154350;253421;0;16284;0;237136
6203532;0;1910;JUL;862646;0;0;0;0;0;9910;0;9910;85513;0;9910;95423;2964;0;774168;940700;1141543;28443;85513;0;0;113956
6203532;0;1910;AUG;774168;0;0;0;0;0;6117;0;6117;32382;0;6117;38499;2513;0;739273;940700;1230021;53597;32382;0;0;85979
6203532;0;1910;SEP;739273;0;0;0;0;0;2767;0;2767;22377;0;2767;25144;2149;162442;552305;554455;1264916;72951;184819;0;0;257770
6203532;0;1910;TOT;645216;261418;0;0;0;0;80723;0;342140;172752;0;80723;253474;19135;162442;552305;-1;-1;928515;335194;261418;0;1002290
6203532;0;1910;OCT;552305;14629;0;0;0;0;9173;0;23803;0;0;9173;9173;964;0;565971;624870;1451884;49172;0;14629;0;34543
6203532;0;1910;NOV;565971;17110;0;0;0;0;8926;0;26036;0;0;8926;8926;491;0;582590;667985;1438218;33173;0;17110;0;16062
6203532;0;1910;DEC;582590;10140;0;0;0;0;6149;0;16289;10209;0;6149;16357;141;0;582380;770000;1421599;27010;10209;10140;0;27079
6203532;0;1911;JAN;582380;9144;0;0;0;0;6149;0;15293;15577;0;6149;21726;212;0;575736;770000;1421809;26088;15577;9144;0;32520
