Year;Upper_Colorado;Gunnison;Yampa;White;SanJuan_Dolores
1909;8108354;2430179;1698372;597167;820567
1910;4713185;2152372;1407402;552658;820567
1911;6230087;3707460;1639704;575457;1137821
1912;8359910;4038722;2031026;737700;996539
1913;5214390;2649793;1268585;509408;698890
1914;8961387;3262250;1795329;630349;1215443
1915;4494044;2447715;1191220;483909;995025
1916;6467346;3360308;1940755;633738;1503216
1917;7997097;3409822;3124066;747376;1187178
1918;7152511;2589339;1918740;630160;562744
1919;4647693;2228215;1444268;509424;793599
1920;7540033;3582118;2353576;730927;1275010
1921;7407334;3317472;2659188;878282;1379328
1922;6080722;2835260;1701337;635135;1302493
1923;6896761;2993129;2055397;632007;1101784
1924;6041937;2500891;1458620;566637;953660
1925;5144710;2297418;1502161;609095;802265
1926;6423231;2535299;1706682;654345;1162040
1927;6562055;3003191;1992427;642114;1048733
1928;6821270;3025739;2227750;765846;889131
1929;7498422;3622298;2953417;885014;1006030
1930;5660466;2641571;1592117;637314;800210
1931;3393812;1303834;1261313;506032;362914
1932;6409296;2848839;2059052;701355;1167154
1933;5435323;2017641;1595497;635593;505059
1934;3070746;1120495;644646;380199;316774
1935;4692490;1976567;1371796;509723;726756
1936;6134540;2336286;1699498;568189;829605
1937;4481625;2035574;1435272;469181;947540
1938;6910389;3084588;1826712;648433;1082205
1939;4778149;1914348;1403856;515986;558655
1940;3669927;1543871;1297860;502903;632413
1941;5212386;2930516;1502881;602772;1528976
1942;6293724;3441931;1758968;627719;1775808
1943;5078197;2369668;1384171;521678;785093
1944;4654802;2732565;1324861;544412;1182807
1945;5105043;2416498;1883070;610498;852515
1946;4281294;1819234;1317165;507931;491069
1947;6169083;2478568;1965060;711038;719945
1948;5734278;2940476;1764085;611899;1042273
1949;5750408;2701653;1955052;678398;1021459
1950;4614474;1869875;1450484;576064;565342
1951;4918310;1694479;1543377;590545;310769
1952;7837021;3218451;2133182;765589;1286503
1953;4601067;1808889;1289407;607205;452325
1954;2747852;1158425;846402;436409;353390
1955;3815603;1547101;1199370;486980;547590
1956;4286495;1609869;1568287;540605;460538
1957;8655433;3861680;2623861;822704;1052772
1958;6255006;2922852;1876734;707357;1116569
1959;3951754;1493003;1263605;539685;395314
1960;4790590;1963278;1495479;530875;758915
1961;3677481;1580681;988306;448489;552843
1962;7244175;2812350;2175371;725272;799674
1963;3307716;1423204;999204;459454;476978
1964;4122297;1953042;1333961;529973;513915
1965;7097081;3177198;1963316;649845;903886
1966;3645759;1896552;1098319;446736;693713
1967;3960980;1722358;1389130;471616;416748
1968;4854819;2206573;1732015;550038;659924
1969;5343884;2524145;1647455;562475;821471
1970;6605101;2962157;2027349;647678;728584
1971;6339578;2566517;2172304;637718;640297
1972;4366737;1692261;1407448;544704;457006
1973;6485075;2930511;1837492;641436;1234474
1974;5337329;2101774;2129518;605921;567957
1975;5883770;2558498;1858955;650947;974071
1976;4290022;1735941;1287386;548870;573319
1977;2482750;799467;617663;288400;220061
1978;5425570;2527304;2218309;594582;834027
1979;6914536;2965875;1980667;607471;1034802
1980;6302250;2847664;1919534;585066;926623
1981;3525871;1202481;902599;389110;377046
1982;5931046;2731062;2064036;625505;918133
1983;9178226;3707413;2602146;867473;1270808
1984;10769564;4371607;3270531;1016973;1267304
1985;8766261;3716294;2481839;899908;1298874
1986;8691327;3469363;2622836;826181;1209173
1987;6004252;3000140;1293744;576919;1175396
1988;4516226;1719750;1496698;546403;585394
1989;3840940;1649636;1014808;490676;687392
1990;3292675;1331124;1070617;396445;347523
1991;4704980;2109966;1286519;503344;647076
1992;4357570;1985633;935284;435451;732429
1993;7524881;3429768;1955478;673656;1244615
1994;4300710;1882075;1058080;415613;562193
1995;8428830;3950652;2233623;743124;1124346
1996;6548004;2487579;2321370;660216;481205
1997;8298854;3481396;2548599;757954;1310929
1998;6320549;2538337;2353510;791999;849069
1999;5341061;2355784;1851692;634704;895526
2000;4488893;1818558;1435322;528817;601080
2001;3854249;1784923;1203988;528698;645252
2002;2334556;895755;663349;345696;162966
2003;4209248;1600849;1472256;508437;470236
2004;3345959;1592796;1106731;435205;627554
2005;5763498;2493824;1822855;590762;1116652
2006;5073000;2065747;1586491;633187;490835
2007;4803170;2200445;1258767;474266;829695
2008;7355841;3078908;2108206;637963;973359
2009;6111011;2437372;2041633;610301;789230
2010;4651369;1943203;1747657;538702;682639
2011;8047496;2887303;3425401;867419;656212
2012;3024404;1086317;879642;432161;481449
2013;3566420;1387031;1025800;420401;336360
