Res ID;ACC;Year;MO;Init. Storage;From River By Priority;From River By Storage;From River By Other;From River By Loss;From Carrier By Priority;From Carrier By Other;From Carrier By Loss;Total Supply;From Storage to River For Use;From Storage to River for Exc;From Storage to Carrier for use;Total Release;Evap;Seep and Spill;EOM Content;Target Stor;Decree Lim;River Inflow;River Release;River Divert;River by Well;River Outflow;Column1
6203532;0;1971;OCT;722234;0;0;0;0;0;671;0;671;0;0;671;671;1099;14966;706169;707268;1281954;51710;14966;0;0;66676;
6203532;0;1971;NOV;706169;0;0;0;0;0;3521;0;3521;0;0;3521;3521;542;21972;683656;684197;1298020;51687;21972;0;0;73659;
6203532;0;1971;DEC;683656;0;0;0;0;0;2882;0;2882;0;0;2882;2882;150;60308;623197;623347;1320534;35987;60308;0;0;96295;
6203532;0;1972;JAN;623197;0;0;0;0;0;5761;0;5761;0;0;5761;5761;214;59235;563748;563962;1380992;36206;59235;0;0;95441;
6203532;0;1972;FEB;563748;0;0;0;0;0;5554;0;5554;0;0;5554;5554;333;50316;513099;513432;1440441;32978;50316;0;0;83294;
6203532;0;1972;MAR;513099;0;0;0;0;0;6149;0;6149;0;0;6149;6149;826;3423;508850;509676;1491090;48255;3423;0;0;51678;
6203532;0;1972;APR;508850;7151;0;0;0;0;5950;0;13101;3766;0;5950;9716;1523;0;510712;512235;1495339;65128;3766;7151;0;61743;
6203532;0;1972;MAY;510712;69258;0;0;0;0;10732;0;79991;1377;0;10732;12109;2210;0;576384;578594;1493476;136713;1377;69258;0;68831;
6203532;0;1972;JUN;576384;149913;0;0;0;0;0;0;149913;10121;0;0;10121;2979;0;713196;730643;1427806;190617;10121;149913;0;50825;
6203532;0;1972;JUL;713196;10513;0;0;0;0;0;0;10513;18212;0;0;18212;2737;0;702760;723743;1290993;65432;18212;10513;0;73130;
6203532;0;1972;AUG;702760;21394;0;0;0;0;7163;0;28557;37472;0;7163;44635;2397;0;684285;708153;1301429;58310;37472;21394;0;74389;
6203532;0;1972;SEP;684285;26509;0;0;0;0;2840;0;29349;26777;0;2840;29617;2225;0;681792;703224;1319904;64818;26777;26509;0;65086;
6203532;0;1972;TOT;722234;284737;0;0;0;0;51224;0;335961;97724;0;51224;148948;17234;210222;681792;-1;-1;837840;307946;284737;0;861049;
