wdid,str_name,utm_x,utm_y,dist,basin,name
"4000687",METZGER DITCH,247609.00000000000,4313867.00000000000,40,Gunnison,North Fork Tribs
"4001083",BEUTEN DITCH # 2,293378.00000000000,4332865.00000000000,40,Gunnison,North Fork Tribs
"4001166",LARSON NO 2 DITCH,281909.00000000000,4330054.00000000000,40,Gunnison,North Fork Tribs
"4000923",HIGHLINE DITCH,257600.00000000000,4309013.00000000000,40,Gunnison,North Fork Tribs
"4000920",DUKE DITCH,261051.00000000000,4299973.00000000000,40,Gunnison,North Fork Tribs
"4001756",RIDGE DITCH,297642.00000000000,4319798.00000000000,40,Gunnison,North Fork Tribs
"4001006",KELLEY DITCH NO 2,272457.00000000000,4301299.00000000000,40,Gunnison,North Fork Tribs
"4000736",PIONEER DITCH,240054.50000000000,4300824.29999999981,40,Gunnison,North Fork Tribs
"4000562",JOHN DAVIS DITCH,267867.00000000000,4288809.00000000000,40,Gunnison,North Fork Tribs
"4001011",LEVALLEY WASTE WATER D,267330.00000000000,4296158.00000000000,40,Gunnison,North Fork Tribs
"4001034",RIDDLE STEPHENS DITCH,264253.00000000000,4300251.00000000000,40,Gunnison,North Fork Tribs
"4000713",GRANBY DITCH FR WARD CR,242331.00000000000,4316765.00000000000,40,Gunnison,North Fork Tribs
"4000910",TATUM BURTON DITCH,212376.00000000000,4286913.00000000000,40,Gunnison,North Fork Tribs
"4000802",FULLER DITCH NO 2,245292.00000000000,4300028.00000000000,40,Gunnison,North Fork Tribs
"4000570",MAYHO DITCH,286276.40000000002,4288107.59999999963,40,Gunnison,North Fork Tribs
"4006515",NEW GELWICKS DITCH,271362.00000000000,4295005.00000000000,40,Gunnison,North Fork Tribs
"4003367",GREGG NO 1 RES,249969.70000000001,4319155.79999999981,40,Gunnison,North Fork Tribs
"4000876",GRANITE ROCK DITCH,202586.00000000000,4279709.00000000000,40,Gunnison,North Fork Tribs
"4000866",CAMPBELL DITCH,202840.00000000000,4281977.00000000000,40,Gunnison,North Fork Tribs
"4000808",MORTON DITCH,248672.00000000000,4303440.00000000000,40,Gunnison,North Fork Tribs
"4000632",CHILDS DITCH,246887.00000000000,4315265.00000000000,40,Gunnison,North Fork Tribs
"4001168",LEE CREEK D NO 2,297475.00000000000,4331728.00000000000,40,Gunnison,North Fork Tribs
"4000854",ALKALI DITCH,224874.00000000000,4300124.00000000000,40,Gunnison,North Fork Tribs
"4001186",NO 2 BUCK CREEK DITCH,296312.00000000000,4325370.00000000000,40,Gunnison,North Fork Tribs
"4000977",EAST FORK DITCH NO 1,285244.00000000000,4302354.00000000000,40,Gunnison,North Fork Tribs
"4000714",HANSEN DITCH,242094.60000000001,4314818.90000000037,40,Gunnison,North Fork Tribs
"4002148",COYOTE DITCH NO 2,297814.00000000000,4322505.00000000000,40,Gunnison,North Fork Tribs
"4001130",FAWCETT DITCH,277537.00000000000,4309234.00000000000,40,Gunnison,North Fork Tribs
"4001158",JOHN BEEZLEY DITCH,275758.00000000000,4308244.00000000000,40,Gunnison,North Fork Tribs
"4000574",MCNEIL DITCH,277540.00000000000,4287176.00000000000,40,Gunnison,North Fork Tribs
"4001847",DUKE DITCH,262348.00000000000,4299661.00000000000,40,Gunnison,North Fork Tribs
"4000758",FORREST DITCH,245023.00000000000,4306834.00000000000,40,Gunnison,North Fork Tribs
"4001172",LOST CABIN DITCH,296973.00000000000,4334821.00000000000,40,Gunnison,North Fork Tribs
"4000716",H J NEIGHBORS DITCH,241902.50000000000,4306343.29999999981,40,Gunnison,North Fork Tribs
"4001930",VIRGINIA DITCH,278935.00000000000,4282878.00000000000,40,Gunnison,North Fork Tribs
"4000684",JACKSON DITCH,247120.89999999999,4312256.00000000000,40,Gunnison,North Fork Tribs
"4000667",WONDERS DITCH,247309.60000000001,4316490.40000000037,40,Gunnison,North Fork Tribs
"4001296",STILLWAGON NO 3 DITCH,241077.50000000000,4315412.40000000037,40,Gunnison,North Fork Tribs
"4000786",WEIR AND JOHNSON DITCH,243703.00000000000,4304995.00000000000,40,Gunnison,North Fork Tribs
"4000823",WELCH DITCH,253337.00000000000,4311249.00000000000,40,Gunnison,North Fork Tribs
"4001027",OAK MESA DITCH,268639.00000000000,4310094.00000000000,40,Gunnison,North Fork Tribs
"4002941",FIRECRACKER DITCH,266133.00000000000,4301290.00000000000,40,Gunnison,North Fork Tribs
"4000724",LONE FRIDAY DITCH,242588.00000000000,4318674.00000000000,40,Gunnison,North Fork Tribs
"4001733",NEEDLE ROCK D HGT NO 5,270018.20000000001,4293308.20000000019,40,Gunnison,North Fork Tribs
"4001247",WATSON DITCH NO 2,268642.00000000000,4295699.00000000000,40,Gunnison,North Fork Tribs
"4000729",MORRIS DITCH,242456.00000000000,4318036.00000000000,40,Gunnison,North Fork Tribs
"4000857",BASS DITCH,216556.00000000000,4293431.00000000000,40,Gunnison,North Fork Tribs
"4000700",CARBON DITCH,242016.50000000000,4314376.40000000037,40,Gunnison,North Fork Tribs
"4000942",STULL DITCH,257726.00000000000,4311825.00000000000,40,Gunnison,North Fork Tribs
"4000794",CURRANT CREEK NO 2 DITCH,253344.00000000000,4311049.00000000000,40,Gunnison,North Fork Tribs
"4000839",HIXON DITCH NO 1,241486.50000000000,4304667.29999999981,40,Gunnison,North Fork Tribs
"4001007",KELLEY NO 1 DITCH,272288.00000000000,4301857.00000000000,40,Gunnison,North Fork Tribs
"4001279",OAK LEAF DITCH,297446.00000000000,4319646.00000000000,40,Gunnison,North Fork Tribs
"4001148",HOMESTEAD DITCH,291918.00000000000,4334589.00000000000,40,Gunnison,North Fork Tribs
"4000572",MCLEOD DITCH,269040.09999999998,4286966.09999999963,40,Gunnison,North Fork Tribs
"4000807",MINERAL SPRINGS DITCH,244712.00000000000,4297220.00000000000,40,Gunnison,North Fork Tribs
"4000564",KEHR DITCH,274438.00000000000,4282093.00000000000,40,Gunnison,North Fork Tribs
"4000984",FEUTZ AND SHORT WASTE DITCH,269877.00000000000,4301930.00000000000,40,Gunnison,North Fork Tribs
"4001167",LAYTON AND CLOONE DITCH,302648.00000000000,4314047.00000000000,40,Gunnison,North Fork Tribs
"4000954",BEAVER DAM DITCH,283425.00000000000,4300141.00000000000,40,Gunnison,North Fork Tribs
"4000629",BILLYS CROSS DITCH,244103.00000000000,4313163.00000000000,40,Gunnison,North Fork Tribs
"4000731",OBERT DITCH,237919.29999999999,4314885.50000000000,40,Gunnison,North Fork Tribs
"4001070",ARTHUR L. MARTIN DITCH,293601.00000000000,4331200.00000000000,40,Gunnison,North Fork Tribs
"4001135",FRED SHAEFFER DITCH,292207.00000000000,4331730.00000000000,40,Gunnison,North Fork Tribs
"4000907",STORTS DITCH,210269.00000000000,4302325.00000000000,40,Gunnison,North Fork Tribs
"4001120",DOWNING DITCH,298500.00000000000,4322895.00000000000,40,Gunnison,North Fork Tribs
"4001051",SWEEZY TURNER DITCH,283707.00000000000,4304931.00000000000,40,Gunnison,North Fork Tribs
"4000566",LARSON BROTHERS DITCH,262349.00000000000,4292610.00000000000,40,Gunnison,North Fork Tribs
"4000557",HARTMAN MCINTYRE DITCH,277654.00000000000,4279002.00000000000,40,Gunnison,North Fork Tribs
"4100908",MANSKA/GRAY WASTEWATER DITCH,232216.00000000000,4281488.00000000000,40,Gunnison,North Fork Tribs
"4000867",CAPT H A SMITH DITCH,211759.89999999999,4286129.70000000019,40,Gunnison,North Fork Tribs
"4001106",COYOTE DITCH,297432.00000000000,4322381.00000000000,40,Gunnison,North Fork Tribs
"4000852",SANBURG DITCH,236124.39999999999,4311238.00000000000,40,Gunnison,North Fork Tribs
"4000782",SUNFLOWER DITCH,240264.50000000000,4299228.29999999981,40,Gunnison,North Fork Tribs
"4000841",HOOSIER DITCH,236344.00000000000,4318858.00000000000,40,Gunnison,North Fork Tribs
"4000859",BLUMBERG DITCH NO. 1,200059.50000000000,4281718.79999999981,40,Gunnison,North Fork Tribs
"4000981",EMMONS HARDING DITCH,285759.00000000000,4302402.00000000000,40,Gunnison,North Fork Tribs
"4001272",BURT AND THOMPSON DITCH,244887.00000000000,4299373.00000000000,40,Gunnison,North Fork Tribs
"4001028",PAONIA FRUIT DITCH,276035.00000000000,4303048.00000000000,40,Gunnison,North Fork Tribs
"4000732",ORCHARD DITCH,243489.00000000000,4312895.00000000000,40,Gunnison,North Fork Tribs
"4000657",ROOSEVELT DITCH,245161.00000000000,4317721.00000000000,40,Gunnison,North Fork Tribs
"4000936",RAILROAD TUNNEL D NO 1,256158.00000000000,4297823.00000000000,40,Gunnison,North Fork Tribs
"4000748",WETTERICK MESA DITCH,242556.50000000000,4311036.29999999981,40,Gunnison,North Fork Tribs
"4001240",PERKINS DITCH,237836.29999999999,4314933.09999999963,40,Gunnison,North Fork Tribs
"4000938",SHINDLEDECKER DITCH (COW CREEK),259260.00000000000,4313153.00000000000,40,Gunnison,North Fork Tribs
"4001435",EVERLASTING DITCH,206873.00000000000,4267898.00000000000,40,Gunnison,North Fork Tribs
"4000963",CLEMENTS DITCH,271456.00000000000,4301826.00000000000,40,Gunnison,North Fork Tribs
"4001020",MINNESOTA CANAL,279979.00000000000,4304727.00000000000,40,Gunnison,North Fork Tribs
"4001184",NORRIS DITCH,304527.00000000000,4307284.00000000000,40,Gunnison,North Fork Tribs
"4000643",KISER DITCH,245156.00000000000,4317543.00000000000,40,Gunnison,North Fork Tribs
"4001530",SHELDON DITCH,243491.10000000001,4312191.29999999981,40,Gunnison,North Fork Tribs
"4001218",WELCH MESA DITCH,292568.00000000000,4337497.00000000000,40,Gunnison,North Fork Tribs
"4000587",PINE CR DITCH,287123.00000000000,4290014.00000000000,40,Gunnison,North Fork Tribs
"4000671",BEESON DITCH,247900.00000000000,4314220.00000000000,40,Gunnison,North Fork Tribs
"4001132",FILMORE DITCH,301388.00000000000,4318390.00000000000,40,Gunnison,North Fork Tribs
"4000630",BRONCHO DITCH,246636.00000000000,4314926.00000000000,40,Gunnison,North Fork Tribs
"4000507",ANDERSON DITCH,264752.00000000000,4287529.00000000000,40,Gunnison,North Fork Tribs
"4000778",SETTLE DITCH,246727.00000000000,4310497.00000000000,40,Gunnison,North Fork Tribs
"4001057",VOGEL DITCH,275667.40000000002,4303551.59999999963,40,Gunnison,North Fork Tribs
"4001208",TERROR DITCH,276927.00000000000,4311810.00000000000,40,Gunnison,North Fork Tribs
"4000707",GABRIEL DITCH,242234.00000000000,4315547.00000000000,40,Gunnison,North Fork Tribs
