wdid,str_name,div,utm_x,utm_y,OBJECTID,AREA,PERIMETER,DIST,DIV_2,SYSTEM,FREQ,Shape_Leng,Shape_Area
"7100551",ITALIAN DITCH,7,199423.50000000000,4156051.79999999981,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100558",KNOBLOCK DITCH,7,207970.00000000000,4167417.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"3402004",SUMMIT - MANCOS FROM TURKEY CREEK DITCH,7,204948.00000000000,4146843.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100624",WEST EDER DITCH,7,214302.39999999999,4180696.79999999981,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100582",QUARRY NO 1 DITCH,7,214816.10000000001,4163759.50000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100589",ROGERS DITCH,7,214403.29999999999,4182133.50000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100601",STARRETT DITCH,7,204570.89999999999,4165625.10000000009,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100588",RIVERSIDE DITCH,7,213799.50000000000,4163504.89999999991,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100549",ILLINOIS DITCH,7,197422.79999999999,4154046.20000000019,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100536",GARBARINO NO 2 DITCH,7,204644.00000000000,4167920.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100513",BURCH AND LONGWILL DITCH,7,201423.00000000000,4159087.89999999991,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100564",LONE DOME DITCH,7,177581.00000000000,4169983.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100545",GOULD & MORIARITY DITCH,7,209061.79999999999,4163981.39999999991,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100703",ITALIAN DITCH AP,7,198915.00000000000,4155413.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100586",RIEVA DITCH,7,205363.89999999999,4169800.89999999991,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7102002",SUMMIT RES OUTLET,7,200162.00000000000,4147135.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100701",EAST EDER DITCH AP,7,215449.00000000000,4180143.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
"7100544",GOEBEL DITCH,7,213977.00000000000,4179223.00000000000,1,3221241440.000000000000000,418692.254000000015367,71,7,NONE,72.000000000000000,418698.528708251600619,3221339849.913826942443848
