wdid,str_name,div,utm_x,utm_y,OBJECTID,AREA,PERIMETER,WDS_,WDS_ID,DIST,DIV_2,SYSTEM,LDIST,RDIST,FREQ,Shape_Leng,Shape_Area
"5600521",BASSETT DITCH NO. 1,6.00000000000,177244.00000000000,4520147.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600522",BASSETT DITCH NO. 2,6.00000000000,176870.00000000000,4520488.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600523",BASSETT DITCH NO. 3,6.00000000000,176773.00000000000,4519660.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600528",UPPER BUFFHAM DITCH,6.00000000000,185741.00000000000,4519327.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600536",THOMAS DOUDLE DITCH,6.00000000000,160238.00000000000,4533153.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600565",NELSON DITCH,6.00000000000,167875.00000000000,4523949.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600570",PRESTOPITZ DITCH,6.00000000000,182688.00000000000,4536736.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600571",ROUFF NO 1 DITCH,6.00000000000,177705.00000000000,4536570.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600573",SPARKS DITCH,6.00000000000,181370.00000000000,4536591.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600574",SPITZE DITCH,6.00000000000,167124.00000000000,4531688.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
