wdid,str_name,div,utm_x,utm_y,OBJECTID,AREA,PERIMETER,DIST,DIV_2,SYSTEM,FREQ,Shape_Length,Shape_Area
4200554,LAURENT DITCH,4,216080.00000000000,4321315.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200635,COFFMAN & WW MUTUAL D PL,4,201019.00000000000,4320404.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200527,JOHNSON CR DITCH HDGT NO2,4,177138.89999999999,4309463.50000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200524,JACKS PUMPING PLANT,4,200707.00000000000,4321261.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200531,LURVEY DITCH #1,4,193587.00000000000,4306629.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200526,JOHNSON CR DITCH HDGT NO 1,4,177426.00000000000,4309288.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200505,BLACK DITCH,4,214716.00000000000,4316397.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200507,BOWEN PRIVATE DITCH,4,214138.70000000001,4315576.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200553,STUART HALL DITCH,4,204762.00000000000,4306948.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200546,SNYDER CREEK SUPPLY DITCH,4,188026.00000000000,4303583.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200501,ANDERSON DITCH,4,188815.00000000000,4303878.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200522,HELMKE DITCH,4,192725.00000000000,4311298.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200538,RABER COAL CREEK SUPPLY DITCH,4,221690.39999999999,4317829.70000000019,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200650,JOHNSON CREEK DITCH NO2,4,176203.00000000000,4307452.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200503,BALES WILLIAMS MORRISON,4,216385.00000000000,4316642.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200509,BRANDON DITCH,4,218032.39999999999,4324935.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200529,KANNAH CREEK HIGHLINE D,4,220032.00000000000,4317462.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200528,JUNIATA DITCH 1ST ENL,4,219323.00000000000,4317481.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200549,WASHBURN & DOWNING DITCH,4,211285.00000000000,4314432.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200523,IRA VINCENT DITCH,4,207725.00000000000,4322277.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200510,BROWN & CAMPION D,4,208535.00000000000,4314544.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200508,BRADBURY DITCH,4,193290.00000000000,4311930.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200525,JOHN KRIGBAUM DITCH,4,192774.50000000000,4326058.79999999981,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200534,M J WOODRING DITCH,4,188026.00000000000,4303583.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200639,F B GRANT EXT,4,190703.79999999999,4305588.79999999981,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200940,DITTMER IRRIGATION SYSTE,4,205592.20000000001,4315002.79999999981,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200542,RIO DOMINGUEZ DITCH,4,206549.00000000000,4303169.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200521,GUNNISON PUMPING PLANT,4,206872.00000000000,4304800.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200504,BAUER DITCH,4,215537.29999999999,4320575.50000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200517,FLORENCE H BERRY DITCH,4,214508.00000000000,4315998.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200545,SMITH IRRIGATING DITCH,4,209305.00000000000,4314497.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200536,NORTHWESTERN DITCH,4,210554.00000000000,4314513.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200516,F B GRANT DITCH,4,190875.79999999999,4305630.50000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200547,UNAWEEP DITCH,4,189198.00000000000,4304682.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200552,WILLIAM H. WILLIAMS DITCH,4,215297.00000000000,4316686.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200544,SHROPSHIRE DITCH,4,205286.79999999999,4321776.90000000037,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200630,VANPELT COX SEEPAGE D,4,211346.00000000000,4314692.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
4200530,KANNAH CREEK EXTENSION DITCH,4,206300.00000000000,4314859.00000000000,2,1649064493.3,225190.937,42,4,NONE,43,225194.18030609,1649111895.16649
5900516,BEAR GULCH DITCH,4,342177.00000000000,4295067.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900524,BOURNE DITCH,4,324090.09999999998,4291105.79999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900540,COLUMBINE DITCH,4,333057.00000000000,4298539.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900576,HAPPY HOLLOW HIGHLINE D,4,337280.00000000000,4293283.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900550,EAST RIVER NO 2 DITCH,4,333841.29999999999,4300604.79999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900861,DOCTOR DITCH,4,353837.00000000000,4291893.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
